family|gia đình
school|trường học
teacher|giáo viên
student|học sinh
book|sách
pen|bút
paper|giấy
table|cái bàn
chair|cái ghế
window|cửa sổ
door|cái cửa
house|ngôi nhà
room|căn phòng
kitchen|nhà bếp
bathroom|phòng tắm
garden|khu vườn
tree|cái cây
flower|bông hoa
grass|cỏ
sky|bầu trời
sun|mặt trời
moon|mặt trăng
star|ngôi sao
cloud|đám mây
rain|mưa
wind|gió
snow|tuyết
river|con sông
mountain|ngọn núi
sea|biển
beach|bãi biển
lake|hồ nước
road|con đường
car|ô tô
motorbike|xe máy
bicycle|xe đạp
bus|xe buýt
train|tàu hỏa
airplane|máy bay
airport|sân bay
station|nhà ga
hotel|khách sạn
restaurant|nhà hàng
food|đồ ăn
drink|đồ uống
water|nước
coffee|cà phê
tea|trà
milk|sữa
bread|bánh mì
rice|cơm
noodle|mì
meat|thịt
fish|cá
chicken|gà
egg|trứng
fruit|trái cây
apple|táo
banana|chuối
orange|cam
mango|xoài
grape|nho
lemon|chanh
strawberry|dâu tây
vegetable|rau củ
potato|khoai tây
tomato|cà chua
onion|hành tây
pepper|tiêu
salt|muối
sugar|đường
cake|bánh ngọt
ice cream|kem
cookie|bánh quy
sweet|kẹo ngọt
music|âm nhạc
song|bài hát
dance|nhảy múa
movie|phim ảnh
cinema|rạp chiếu phim
game|trò chơi
toy|đồ chơi
gift|món quà
birthday|sinh nhật
party|bữa tiệc
holiday|kỳ nghỉ
travel|du lịch
trip|chuyến đi
journey|hành trình
adventure|cuộc phiêu lưu
dream|giấc mơ
love|tình yêu
heart|trái tim
kiss|nụ hôn
hug|cái ôm
smile|nụ cười
laugh|tiếng cười
cry|khóc
happy|hạnh phúc
sad|buồn bã
angry|tức giận
afraid|sợ hãi
brave|dũng cảm
kind|tốt bụng
honest|trung thực
polite|lịch sự
strong|mạnh mẽ
weak|yếu đuối
rich|giàu có
poor|nghèo khó
beautiful|xinh đẹp
handsome|đẹp trai
young|trẻ tuổi
old|già nua
baby|em bé
child|đứa trẻ
adult|người lớn
man|đàn ông
woman|phụ nữ
boy|cậu bé
girl|cô bé
brother|anh/em trai
sister|chị/em gái
father|cha
mother|mẹ
grandfather|ông
grandmother|bà
uncle|chú
aunt|cô/dì
cousin|anh chị em họ
husband|chồng
wife|vợ
friendship|tình bạn
relationship|mối quan hệ
neighbor|hàng xóm
boss|sếp
worker|công nhân
doctor|bác sĩ
nurse|y tá
engineer|kỹ sư
driver|tài xế
farmer|nông dân
painter|họa sĩ
writer|nhà văn
poet|nhà thơ
singer|ca sĩ
actor|diễn viên
police|cảnh sát
firefighter|lính cứu hỏa
soldier|người lính
scientist|nhà khoa học
athlete|vận động viên
coach|huấn luyện viên
pupil|học trò
university|đại học
college|cao đẳng
library|thư viện
hospital|bệnh viện
office|văn phòng
company|công ty
market|chợ
shop|cửa hàng
mall|trung tâm thương mại
bank|ngân hàng
post office|bưu điện
church|nhà thờ
temple|ngôi đền
museum|bảo tàng
zoo|sở thú
park|công viên
playground|sân chơi
street|con phố
bridge|cây cầu
tower|tháp
castle|lâu đài
palace|cung điện
statue|bức tượng
island|hòn đảo
desert|sa mạc
forest|khu rừng
jungle|rừng rậm
valley|thung lũng
hill|đồi
cliff|vách đá
cave|hang động
earth|trái đất
world|thế giới
country|đất nước
city|thành phố
village|làng quê
capital|thủ đô
continent|châu lục
ocean|đại dương
language|ngôn ngữ
word|từ ngữ
sentence|câu văn
story|câu chuyện
bookstore|nhà sách
newspaper|báo chí
magazine|tạp chí
news|tin tức
information|thông tin
message|tin nhắn
letter|lá thư
email|thư điện tử
phone|điện thoại
call|cuộc gọi
computer|máy tính
internet|mạng internet
website|trang web
app|ứng dụng
photo|bức ảnh
video|đoạn phim
camera|máy ảnh
television|tivi
radio|đài phát thanh
clock|đồng hồ
watch|đồng hồ đeo tay
calendar|lịch
map|bản đồ
key|chìa khóa
bag|cái túi
wallet|ví tiền
money|tiền bạc
coin|đồng xu
card|thẻ
ticket|vé
passport|hộ chiếu
identity card|chứng minh thư
glasses|kính mắt
shoes|giày
clothes|quần áo
shirt|áo sơ mi
pants|quần dài
skirt|váy
dress|đầm
hat|mũ
cap|mũ lưỡi trai
belt|thắt lưng
scarf|khăn quàng
umbrella|ô
soap|xà phòng
shampoo|dầu gội
toothbrush|bàn chải đánh răng
toothpaste|kem đánh răng
towel|khăn tắm
bed|cái giường
